rank,title,price,sold,shop,location,url,image
1,潮牌篮球背心女夏季字母印花新款中长款,170.0,1.3万+,拉夏贝尔旗舰店,广州,https://item.taobao.com/item.htm?id=621602814574,
2,辣妹短袖球衣女夏季格纹新款中长款,48.9,1.2万+,球迷服饰旗舰店,广州,https://item.taobao.com/item.htm?id=789664292548,
3,学院球迷服女夏季圆领新款宽松,77.2,6800+,太平鸟女装旗舰店,广州,https://item.taobao.com/item.htm?id=727688225744,
4,嘻哈篮球背心女夏季长款新款宽松,80.5,7100+,南极人女装旗舰店,深圳,https://item.taobao.com/item.htm?id=680629714570,
5,ins风短袖球衣女夏季数字刺绣新款修身,70.8,4100+,潮牌集合店,杭州,https://item.taobao.com/item.htm?id=774414889587,
6,宽松棒球外套女夏季v领新款宽松,52.5,3700+,球迷服饰旗舰店,广州,https://item.taobao.com/item.htm?id=708729042940,
7,千禧篮球背心女夏季v领新款中长款,161.1,3600+,太平鸟女装旗舰店,上海,https://item.taobao.com/item.htm?id=748439945851,
8,千禧无袖球衣女夏季撞色新款修身,104.2,4400+,雪中飞女装专营店,上海,https://item.taobao.com/item.htm?id=788085548684,
9,学院篮球背心女夏季长款新款修身,116.7,3500+,茵曼旗舰店,苏州,https://item.taobao.com/item.htm?id=779394765539,
10,Y2K篮球背心女夏季圆领新款修身,414.9,3400+,Y2K潮流女装店,杭州,https://item.taobao.com/item.htm?id=775537540630,
11,千禧棒球外套女夏季撞色新款宽松,77.1,1500+,韩都衣舍旗舰店,佛山,https://item.taobao.com/item.htm?id=630148423042,
12,Y2K运动卫衣女夏季v领新款宽松,97.7,3300+,Y2K潮流女装店,上海,https://item.taobao.com/item.htm?id=780940063581,
13,甜酷棒球外套女夏季拼接新款修身,195.1,2600+,学院风女装店,苏州,https://item.taobao.com/item.htm?id=778978532665,
14,Y2KT恤女夏季格纹新款修身,50.2,1600+,茵曼旗舰店,广州,https://item.taobao.com/item.htm?id=618163166676,
15,美式复古球迷服女夏季数字刺绣新款中长款,112.6,2100+,美式复古工厂店,深圳,https://item.taobao.com/item.htm?id=732218933663,
16,vintage无袖球衣女夏季v领新款宽松,135.6,2100+,潮牌集合店,杭州,https://item.taobao.com/item.htm?id=707634511855,
17,高街球迷服女夏季数字刺绣新款宽松,65.8,2300+,茵曼旗舰店,佛山,https://item.taobao.com/item.htm?id=754000205166,
18,ins风棒球服女夏季格纹新款宽松,85.3,1300+,拉夏贝尔旗舰店,广州,https://item.taobao.com/item.htm?id=703786326152,
19,美式复古无袖球衣女夏季圆领新款修身,73.8,1600+,ONLY官方旗舰店,苏州,https://item.taobao.com/item.htm?id=759164973782,
20,高街棒球外套女夏季字母印花新款中长款,41.5,1000+,Y2K潮流女装店,杭州,https://item.taobao.com/item.htm?id=650901128656,
21,ins风篮球背心女夏季v领新款修身,83.5,1400+,辣妹穿搭研究所,北京,https://item.taobao.com/item.htm?id=672734009557,
