rank,title,price,sold,shop,location,url,image
1,千禧球衣女夏季数字刺绣新款宽松,54.4,1.4万+,学院风女装店,苏州,https://item.taobao.com/item.htm?id=710379515681,
2,千禧棒球外套女夏季格纹新款修身,68.9,6800+,ONLY官方旗舰店,广州,https://item.taobao.com/item.htm?id=755776363694,
3,美式复古球衣女夏季条纹新款中长款,84.8,7800+,茵曼旗舰店,佛山,https://item.taobao.com/item.htm?id=713163631059,
4,Y2K球迷服女夏季数字刺绣新款宽松,120.7,6400+,美式复古工厂店,杭州,https://item.taobao.com/item.htm?id=670070317634,
5,Y2K篮球背心女夏季长款新款中长款,35.5,5100+,辣妹穿搭研究所,佛山,https://item.taobao.com/item.htm?id=722945194386,
6,vintage棒球服女夏季v领新款修身,30.0,6000+,辣妹穿搭研究所,深圳,https://item.taobao.com/item.htm?id=645998166986,
7,千禧棒球外套女夏季字母印花新款中长款,181.6,4200+,雪中飞女装专营店,佛山,https://item.taobao.com/item.htm?id=797279242716,
8,千禧棒球外套女夏季圆领新款修身,88.0,4500+,Y2K潮流女装店,上海,https://item.taobao.com/item.htm?id=620890836617,
9,千禧无袖球衣女夏季短款新款中长款,39.1,3400+,运动潮流店,上海,https://item.taobao.com/item.htm?id=747946794520,
10,甜酷球迷服女夏季短款新款中长款,459.9,2200+,拉夏贝尔旗舰店,深圳,https://item.taobao.com/item.htm?id=610354200210,
11,Y2KT恤女夏季长款新款修身,244.6,1800+,辣妹穿搭研究所,北京,https://item.taobao.com/item.htm?id=629505138199,
12,oversizeT恤女夏季数字刺绣新款中长款,460.3,1500+,球迷服饰旗舰店,苏州,https://item.taobao.com/item.htm?id=768957833969,
13,高街无袖球衣女夏季数字刺绣新款修身,130.8,2700+,运动潮流店,广州,https://item.taobao.com/item.htm?id=619831837389,
14,辣妹运动卫衣女夏季v领新款中长款,20.8,1500+,太平鸟女装旗舰店,广州,https://item.taobao.com/item.htm?id=686096875622,
15,vintage棒球服女夏季圆领新款修身,147.4,1400+,茵曼旗舰店,成都,https://item.taobao.com/item.htm?id=787345229482,
16,辣妹T恤女夏季撞色新款宽松,139.6,1800+,太平鸟女装旗舰店,上海,https://item.taobao.com/item.htm?id=720576318736,
17,Y2K运动卫衣女夏季长款新款中长款,81.3,1400+,辣妹穿搭研究所,北京,https://item.taobao.com/item.htm?id=679778209789,
18,高街运动卫衣女夏季字母印花新款中长款,432.5,2200+,学院风女装店,佛山,https://item.taobao.com/item.htm?id=681187487267,
19,vintage短袖球衣女夏季撞色新款修身,116.6,1800+,雪中飞女装专营店,杭州,https://item.taobao.com/item.htm?id=775678781188,
20,潮牌棒球服女夏季圆领新款修身,57.2,1400+,ONLY官方旗舰店,上海,https://item.taobao.com/item.htm?id=749406934878,
21,Y2K棒球外套女夏季格纹新款修身,179.7,1800+,韩都衣舍旗舰店,杭州,https://item.taobao.com/item.htm?id=638978113961,
22,vintage短袖球衣女夏季长款新款中长款,78.5,1600+,潮牌集合店,苏州,https://item.taobao.com/item.htm?id=705589881594,
23,oversize球迷服女夏季数字刺绣新款中长款,186.3,1000+,茵曼旗舰店,佛山,https://item.taobao.com/item.htm?id=792884351180,
24,千禧无袖球衣女夏季数字刺绣新款宽松,40.9,1300+,拉夏贝尔旗舰店,佛山,https://item.taobao.com/item.htm?id=781982108763,
25,高街棒球外套女夏季长款新款中长款,46.7,1200+,太平鸟女装旗舰店,广州,https://item.taobao.com/item.htm?id=701748980687,
26,辣妹T恤女夏季条纹新款宽松,362.3,1100+,拉夏贝尔旗舰店,苏州,https://item.taobao.com/item.htm?id=623427832728,
27,潮牌短袖球衣女夏季撞色新款宽松,55.7,1500+,Y2K潮流女装店,深圳,https://item.taobao.com/item.htm?id=658353071034,
28,oversize短袖球衣女夏季短款新款宽松,494.2,1200+,球迷服饰旗舰店,上海,https://item.taobao.com/item.htm?id=780860756494,
29,oversize棒球服女夏季拼接新款宽松,78.4,800+,拉夏贝尔旗舰店,杭州,https://item.taobao.com/item.htm?id=620382477177,
30,甜酷T恤女夏季短款新款中长款,113.4,1400+,潮牌集合店,苏州,https://item.taobao.com/item.htm?id=778060936774,
31,美式复古棒球服女夏季条纹新款修身,167.4,900+,雪中飞女装专营店,杭州,https://item.taobao.com/item.htm?id=673556432780,
