rank,title,price,sold,shop,location,url,image
1,街头球衣女夏季短款新款修身,132.1,1.7万+,拉夏贝尔旗舰店,北京,https://item.taobao.com/item.htm?id=637852340417,
2,潮牌棒球外套女夏季数字刺绣新款中长款,291.7,9600+,球迷服饰旗舰店,佛山,https://item.taobao.com/item.htm?id=660954198344,
3,宽松球衣女夏季数字刺绣新款修身,173.8,4900+,韩都衣舍旗舰店,上海,https://item.taobao.com/item.htm?id=705644369049,
4,宽松球衣女夏季拼接新款中长款,79.5,7000+,ONLY官方旗舰店,佛山,https://item.taobao.com/item.htm?id=679931898694,
5,vintageT恤女夏季v领新款中长款,23.8,5800+,辣妹穿搭研究所,佛山,https://item.taobao.com/item.htm?id=739079083098,
6,嘻哈无袖球衣女夏季拼接新款宽松,116.5,4500+,茵曼旗舰店,杭州,https://item.taobao.com/item.htm?id=622699172816,
7,vintage球衣女夏季圆领新款修身,46.4,3600+,韩都衣舍旗舰店,广州,https://item.taobao.com/item.htm?id=614666870552,
8,学院棒球外套女夏季短款新款宽松,26.7,4000+,韩都衣舍旗舰店,上海,https://item.taobao.com/item.htm?id=609180920345,
9,千禧T恤女夏季拼接新款中长款,69.8,2200+,学院风女装店,成都,https://item.taobao.com/item.htm?id=665661896297,
10,千禧篮球背心女夏季字母印花新款宽松,139.3,3000+,南极人女装旗舰店,深圳,https://item.taobao.com/item.htm?id=641740830066,
11,千禧无袖球衣女夏季字母印花新款中长款,67.5,2300+,Y2K潮流女装店,广州,https://item.taobao.com/item.htm?id=610609149392,
12,潮牌无袖球衣女夏季短款新款修身,56.9,1600+,辣妹穿搭研究所,北京,https://item.taobao.com/item.htm?id=609162924447,
13,Y2K棒球外套女夏季短款新款中长款,78.0,2800+,茵曼旗舰店,佛山,https://item.taobao.com/item.htm?id=677468255507,
14,辣妹棒球服女夏季v领新款宽松,54.5,1300+,潮牌集合店,深圳,https://item.taobao.com/item.htm?id=695718117453,
15,oversize棒球服女夏季短款新款修身,186.8,1800+,雪中飞女装专营店,佛山,https://item.taobao.com/item.htm?id=736116397696,
16,Y2K棒球外套女夏季圆领新款宽松,42.9,1600+,茵曼旗舰店,北京,https://item.taobao.com/item.htm?id=680148037780,
17,千禧T恤女夏季撞色新款中长款,127.7,1500+,拉夏贝尔旗舰店,苏州,https://item.taobao.com/item.htm?id=617426220213,
18,潮牌无袖球衣女夏季短款新款中长款,73.0,2000+,南极人女装旗舰店,上海,https://item.taobao.com/item.htm?id=664713274533,
19,vintage球迷服女夏季短款新款修身,40.6,1500+,茵曼旗舰店,上海,https://item.taobao.com/item.htm?id=701058260697,
20,学院球迷服女夏季圆领新款宽松,109.5,1000+,球迷服饰旗舰店,苏州,https://item.taobao.com/item.htm?id=723282903679,
21,辣妹运动卫衣女夏季条纹新款宽松,81.6,1000+,潮牌集合店,北京,https://item.taobao.com/item.htm?id=697357630567,
22,高街篮球背心女夏季格纹新款中长款,106.3,1000+,韩都衣舍旗舰店,深圳,https://item.taobao.com/item.htm?id=665020981060,
23,vintageT恤女夏季字母印花新款修身,57.4,900+,太平鸟女装旗舰店,成都,https://item.taobao.com/item.htm?id=797566756342,
24,高街T恤女夏季格纹新款修身,80.2,1200+,潮牌集合店,北京,https://item.taobao.com/item.htm?id=774166522086,
25,街头球衣女夏季拼接新款修身,82.4,900+,学院风女装店,深圳,https://item.taobao.com/item.htm?id=745775072900,
26,千禧篮球背心女夏季圆领新款宽松,66.5,1200+,雪中飞女装专营店,上海,https://item.taobao.com/item.htm?id=781123927501,
27,街头球迷服女夏季撞色新款宽松,40.4,1300+,球迷服饰旗舰店,成都,https://item.taobao.com/item.htm?id=774453447304,
28,美式复古T恤女夏季格纹新款修身,54.1,1100+,学院风女装店,广州,https://item.taobao.com/item.htm?id=720938034649,
29,学院T恤女夏季条纹新款宽松,294.8,1000+,拉夏贝尔旗舰店,上海,https://item.taobao.com/item.htm?id=702051279072,
30,嘻哈棒球外套女夏季数字刺绣新款修身,23.8,1500+,运动潮流店,成都,https://item.taobao.com/item.htm?id=652882707904,
31,vintage球衣女夏季条纹新款中长款,83.0,1000+,ONLY官方旗舰店,深圳,https://item.taobao.com/item.htm?id=696994724397,
32,美式复古棒球服女夏季圆领新款修身,31.0,700+,雪中飞女装专营店,苏州,https://item.taobao.com/item.htm?id=701908871167,
33,vintage无袖球衣女夏季短款新款宽松,27.0,1000+,球迷服饰旗舰店,苏州,https://item.taobao.com/item.htm?id=787360395935,
34,街头篮球背心女夏季拼接新款宽松,126.3,700+,Y2K潮流女装店,成都,https://item.taobao.com/item.htm?id=610737752848,
35,美式复古棒球服女夏季拼接新款中长款,62.7,800+,辣妹穿搭研究所,北京,https://item.taobao.com/item.htm?id=708072123375,
36,街头运动卫衣女夏季撞色新款修身,64.5,500+,韩都衣舍旗舰店,杭州,https://item.taobao.com/item.htm?id=715877779701,
37,街头运动卫衣女夏季字母印花新款中长款,87.4,1000+,辣妹穿搭研究所,佛山,https://item.taobao.com/item.htm?id=742466264499,
38,潮牌无袖球衣女夏季拼接新款中长款,67.6,800+,拉夏贝尔旗舰店,深圳,https://item.taobao.com/item.htm?id=739201511010,
39,vintageT恤女夏季字母印花新款中长款,49.4,700+,雪中飞女装专营店,佛山,https://item.taobao.com/item.htm?id=749946431496,
40,Y2K棒球外套女夏季短款新款中长款,75.0,600+,ONLY官方旗舰店,苏州,https://item.taobao.com/item.htm?id=684001342541,
